region,pop_code,Fam,Ind,ind_code,index,1C,CV_Solanum,CV_Sample,batch
NY,MC,MC11,MC11b-1C,MC11b1C,1.488,1.93,2.92,2.64,4
NY,MC,MC11,MC11B2,MC11B2A,1.518,1.97,2.5,2.27,1
NY,MC,MC13,MC13-3,MC133A,1.464,1.90,5.34,3.6,1
NY,MC,MC13,MC13-1,MC131A,1.495,1.94,3.2,2.7,1
NY,MC,MC13,MC13-2,MC132B,1.484,1.92,2.8,2.54,2
NY,MC,MC14,MC14-2,MC142A,1.54,1.99,3.14,3.27,1
NY,MC,MC14,MC14-1,MC141A,1.487,1.93,3.4,2.89,1
NY,MC,MC14,MC14-1,MC141B,1.495,1.94,3.12,2.54,2
NY,MC,MC14,MC14-2B,MC142B,1.486,1.92,2.56,2.38,4
NY,MC,MC3,MC3-1,MC31A,1.471,1.90,2.91,2.53,1
